1967-09,3
1967-10,9
1967-11,17
1967-12,11
1968-01,6
1968-02,15
1968-03,17
1968-04,15
1968-05,37
1968-06,13
1968-07,14
1968-08,15
1968-09,10
1968-10,12
1968-11,6
1968-12,8
1969-01,9
1969-02,10
1969-03,4
1969-04,4
1969-05,12
1969-06,13
1969-07,16
1969-08,6
1969-09,10
1969-10,8
1969-11,10
1969-12,20
1970-02,4
1970-03,1
1970-04,2
1970-05,2
1970-06,4
1970-07,4
1970-08,3
1970-09,6
1970-10,8
1970-11,1
1970-12,10
1971-01,7
1971-02,11
1971-03,9
1971-04,10
1971-05,17
1971-06,31
1971-07,40
1971-08,30
1971-09,14
1971-10,26
1971-11,8
1971-12,2
1972-01,7
1972-02,9
1972-03,24
1972-04,7
1972-05,7
1972-06,6
1972-07,8
1972-08,17
1972-09,5
1972-10,7
1972-11,21
1972-12,55
1973-01,9
1973-02,2
1973-03,3
1973-04,15
1973-05,4
1973-06,6
1973-07,3
1973-08,1
1973-09,3
1974-01,3
1974-02,1
1974-03,1
1974-04,2
1974-05,12
1974-06,4
1974-07,11
1974-08,6
1974-09,20
1974-10,22
1974-11,6
1974-12,18
1975-01,9
1975-02,23
1975-03,22
1975-04,8
1975-05,6
1975-06,14
1975-07,8
1975-08,42
1975-09,41
1975-10,69
1975-11,39
1975-12,41
1976-01,18
1976-02,18
1976-03,8
1976-04,5
1976-05,11
1976-06,21
1976-07,9
1976-08,1
1976-10,1
1977-03,1
1977-05,2
1977-09,1
1978-01,1
1978-03,3
1978-04,2
1978-10,1
1979-04,5
1979-05,3
1979-06,2
1979-07,1
1979-08,9
1979-09,9
1979-10,9
1979-11,6
1979-12,4
1980-01,4
1980-02,15
1980-03,17
1980-04,5
1980-05,1
1980-06,1
1980-07,8
1980-08,4
1980-09,2
1980-10,4
1980-11,7
1980-12,10
1981-01,1
1981-02,10
1981-03,7
1981-04,4
1981-05,8
1981-06,2
1981-07,1
1981-08,1
1981-09,3
1981-10,4
1981-11,1
1981-12,4
1982-01,2
1982-02,5
1982-03,5
1982-04,6
1982-05,11
1982-06,4
1982-07,2
1982-08,10
1982-09,5
1982-10,15
1982-11,3
1982-12,2
1983-01,1
1983-02,2
1983-03,2
